id,url,title,tomatoScore,popcornScore,squidScore
2,/m/mickey_blue_eyes,Mickey Blue Eyes,45.0,42,3.0
3,/m/clerks,Clerks,88.0,89,-1.0
4,/m/schlock,Schlock,67.0,42,25.0
7,/m/mickey_blue_eyes,Mickey Blue Eyes,45.0,42,3.0
10,/m/mickey_blue_eyes,Mickey Blue Eyes,45.0,42,3.0
11,/m/clerks,Clerks,88.0,89,-1.0
12,/m/schlock,Schlock,67.0,42,25.0
13,/m/amos_and_andrew,Amos & Andrew,20.0,31,-11.0
14,/m/monkeybone,Monkeybone,19.0,27,-8.0
16,/m/sssssss,Sssssss,30.0,25,5.0
19,/m/1004502-coma,Coma,80.0,66,14.0
21,/m/greedy,Greedy,28.0,48,-20.0
22,/m/cactus_flower,Cactus Flower,88.0,80,8.0
24,/m/leave_it_to_beaver,Leave It to Beaver,21.0,32,-11.0
25,/m/white-nights,White Nights,46.0,75,-29.0
27,/m/1002497-black_hole,The Black Hole,40.0,45,-5.0
28,/m/wild_at_heart,Wild At Heart,65.0,81,-16.0
30,/m/devils_rain,The Devil's Rain,18.0,35,-17.0
31,/m/blue_crush,Blue Crush,61.0,58,3.0
32,/m/1037649-my_girl,My Girl,53.0,77,-24.0
33,/m/lady_in_white,Lady in White,67.0,69,-2.0
34,/m/gone_fishin,Gone Fishin',4.0,37,-33.0
35,/m/jackie_brown,Jackie Brown,87.0,85,2.0
36,/m/bigger_than_the_sky,Bigger Than the Sky,12.0,53,-41.0
37,/m/sophies_choice,Sophie's Choice,76.0,85,-9.0
39,/m/1107863-moulin_rouge,Moulin Rouge!,76.0,89,-13.0
