,url,title,tomatoScore,popcornScore
/m/amos_and_andrew,/m/amos_and_andrew,Amos & Andrew,20,31
/m/monkeybone,/m/monkeybone,Monkeybone,19,27
/m/car_54_where_are_you,/m/car_54_where_are_you,"Car 54, Where Are You?",null,11
/m/sssssss,/m/sssssss,Sssssss,30,25
/m/pharaohs_army,/m/pharaohs_army,Pharaoh's Army,null,62
/m/home_for_christmas_1993,/m/home_for_christmas_1993,Home for Christmas,null,45
/m/1004502-coma,/m/1004502-coma,Coma,80,66
/m/wicked_spring,/m/wicked_spring,Wicked Spring,null,58
/m/greedy,/m/greedy,Greedy,28,48
/m/cactus_flower,/m/cactus_flower,Cactus Flower,88,80
/m/a-time-for-dancing,/m/a-time-for-dancing,A Time for Dancing,null,75
/m/leave_it_to_beaver,/m/leave_it_to_beaver,Leave It to Beaver,21,32
/m/white-nights,/m/white-nights,White Nights,46,75
/m/1017827-romantic_comedy,/m/1017827-romantic_comedy,Romantic Comedy,null,42
